	tf-idf	personalized
1335568918707011585	3.8630256398493814	3.8722650349009613
1335568937593999362	3.8630256398493814	3.942649694765436
1335568970292858880	3.8630256398493814	3.864227512376416
1335571438087122945	4.510852945060375	5.543712147980894
1335571463764664322	3.8630256398493814	3.9207155211470512
1335572548893995008	3.8630256398493814	5.147827371249569
1335572561887961088	4.510852945060375	4.962456547093696
1335572581739614212	3.8630256398493814	3.923795319497578
1335567823402196992	2.6870619865102596	2.6870619865102596
1335567848337498113	3.8630256398493814	3.9568468139910347
1335576385109323776	3.8630256398493814	3.8749692480867894
1335576428738392065	3.8630256398493814	3.8744434288562117
1335574735124635648	3.8630256398493814	3.880678142590205
1335559262911795200	2.6501551612791276	2.992012778187585
1335559290527100934	3.9991741035311374	4.001352497486388
1335567412683485187	3.8630256398493814	3.8674575447928223
1335565351770353664	3.8630256398493814	3.865955204134029
1335571133916176386	3.2645708544350702	3.2647210885009494
1335571198277607428	3.390095617771463	3.5080293594867515
1335563662233391104	3.8630256398493814	3.963682463988545
