Tweet id	diversity	Text	Cluster
1335559283564453889	1.484622034425491	🇺🇸trump https://t.co/P3ctsnhebv	0
1335565393147080710	1.484622034425491	*with Trump	0
1335567431499051010	1.3699543169468424	@ANINewsUP @ANI If they are farmer than i am #Trump	2
1335572554615033857	1.3032775490988426	@TheDemCoalition @BuzzFeedNews How about #Trump revealing his taxes?	2
1335568968795516928	1.2552156958664908	RT @BeNosey: UK HERE, I TOTALLY GET TRUMP #TRUMP https://t.co/COZIUWFFn6	0
1335568930216300544	1.233900991390491	RT @JoyAnnReid: Nixon was the Trump before Trump.	0
1335559344113520640	1.2013495392328424	"RT @BeNosey: Numbers. 17  / 9+1+7 17=Q. #TRUMP

https://t.co/nkK6aoUBLP https://t.co/b1VMhnk0gy

https://t.co/zE4DA0hCM8 https://t.co/HWC8s…"	2
1335571192569270274	1.151101562464491	@WarrenWhitlock Except #Trump maybe  ? :-)	0
1335571458194542593	1.1260649099618427	A trump fart in action. https://t.co/qomCcGqdCM	2
1335571179000754177	1.0844247946164909	@ScottFishman TRUMP	0
