Tweet id	tf-idf	Text	Cluster
1335571151087611904	3.2456295800319994	Elect Republicans out of Georgia. #realDonaldTrump The American Horror. https://t.co/jJ1oEqJWrM	0
1335572593911459840	2.8108992343040002	RT @realDonaldTrump: Thank you Christina!	0
1335568960062971905	2.8108992343040002	RT @realDonaldTrump: Thank you Christina!	0
1335567887222923265	2.8108992343040002	RT @realDonaldTrump: Thank you Christina!	0
1335571124579688449	2.8108992343040002	RT @realDonaldTrump: Thank you Christina!	0
1335567890901307395	2.8108992343040002	RT @realDonaldTrump: Thank you Christina! https://t.co/0ADausqhat	0
1335567891081605120	2.8108992343040002	RT @realDonaldTrump: Thank you Christina! https://t.co/0ADausqhat	0
1335567372338536448	2.8108992343040002	RT @realDonaldTrump: Thank you Christina!	0
1335571138815070209	2.8108992343040002	@realDonaldTrump Lock Trump up!!!!.	0
1335567878796566530	2.8108992343040002	RT @realDonaldTrump: Thank you Christina!	0
